AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BLM-301,16:05:42.33,24:07:36.0,143,B,15.318,0.1418,
000-BLX-883,15:31:46.87,21:45:54.2,143,V,14.271,0.011,
000-BLX-883,15:31:46.87,21:45:54.2,143,B,15.268,0.0348,
000-BMR-734,16:16:13.43,22:06:16.6,143,V,14.301,0.052,
000-BMR-734,16:16:13.43,22:06:16.6,143,B,14.958,0.1136,
000-BPC-229,15:59:28.42,25:52:11.3,143,V,14.342,0.056,
000-BPC-229,15:59:28.42,25:52:11.3,143,B,15.295,0.1094,
000-BPK-108,16:14:27.68,23:41:27.0,143,V,14.257,0.032,
000-BPK-108,16:14:27.68,23:41:27.0,143,B,15.036,0.0724,
000-BBW-997,16:06:11.54,18:26:03.4,144,V,14.383,0.014,
000-BBW-997,16:06:11.54,18:26:03.4,144,B,15.169,0.0714,
000-BBX-115,16:10:38.22,25:05:50.9,144,V,14.382,0.125,
000-BBX-115,16:10:38.22,25:05:50.9,144,B,14.992,0.2742,
000-BKB-500,15:53:45.44,27:26:49.2,144,V,14.378,0.02,
000-BKB-500,15:53:45.44,27:26:49.2,144,B,15.244,0.0474,
000-BLP-676,15:58:45.53,19:40:44.9,144,V,14.433,0.031,
000-BLP-676,15:58:45.53,19:40:44.9,144,B,15.18,0.064,
000-BLP-677,15:59:03.21,19:48:40.5,144,V,14.36,0.025,
000-BLP-677,15:59:03.21,19:48:40.5,144,B,15.084,0.0506,
000-BMG-778,16:09:56.85,22:17:07.9,144,V,14.4,0.147,
000-BMG-778,16:09:56.85,22:17:07.9,144,B,15.084,0.3065,
000-BNC-146,16:16:46.43,29:57:16.5,144,V,14.449,0.02,
000-BNC-146,16:16:46.43,29:57:16.5,144,B,15.35,0.0511,
000-BPN-756,16:34:45.24,32:11:03.8,144,V,14.433,0.005,
000-BPN-756,16:34:45.24,32:11:03.8,144,B,15.116,0.0103,
000-BBW-193,15:27:46.17,19:36:20.4,145,V,14.486,0.063,
000-BBW-193,15:27:46.17,19:36:20.4,145,B,14.26,0.1173,
000-BBX-252,16:17:07.52,25:52:46.5,145,V,14.515,0.247,
000-BBX-252,16:17:07.52,25:52:46.5,145,B,14.058,0.43,
000-BBX-606,16:30:48.61,21:13:18.9,145,V,14.451,0.013,
000-BBX-606,16:30:48.61,21:13:18.9,145,B,15.128,0.0291,
000-BQL-001,16:00:56.74,20:36:02.0,145,V,14.524,0.014,
000-BQL-001,16:00:56.74,20:36:02.0,145,B,15.181,0.0331,
